,Speed_of_Left_Hand_Perpendicular_to_Spine,Speed_of_Right_Hand_Perpendicular_to_Spine
Cond_BT/StudySeq28,0.5728166497424012,0.5715384429108318
Cond_BT/StudySeq29,0.744469244226147,0.7158994801442947
Cond_BT/StudySeq30,0.7209313046095417,0.6402927716962135
Cond_BT/StudySeq31,0.6540591592444617,0.5070178203812858
Cond_BT/StudySeq32,0.6088090126324336,0.7138306809148908
Cond_BT/StudySeq33,0.6079974507314768,0.4894831166741795
Cond_BT/StudySeq34,0.48664833299300925,0.5440320822350699
Cond_BT/StudySeq35,0.7014472379129362,0.6019513425957934
Cond_BT/StudySeq36,0.43097425157309477,0.5917492674509482
Cond_BT/StudySeq37,0.5119487169099736,0.49297745747970195
Cond_BT/StudySeq38,0.6536426309801837,0.5098646007387445
Cond_BT/StudySeq39,0.6265148138317468,0.6333669762453876
Cond_BT/StudySeq40,0.5973104271674557,0.6940689355891242
Cond_N/StudySeq1,0.5723759049912575,0.4539215016478493
Cond_N/StudySeq2,0.5127309548545674,0.4693137312608357
Cond_N/StudySeq3,0.4044121901354799,0.49166688618047444
Cond_N/StudySeq4,0.5782704080880166,0.48758077799573396
Cond_N/StudySeq5,0.4572889362708786,0.4398719411705607
Cond_N/StudySeq6,0.37383499375514934,0.41330819885917036
Cond_N/StudySeq7,0.48704769492925276,0.6904831033374481
Cond_N/StudySeq8,0.5844548651490006,0.3887548614776232
Cond_N/StudySeq9,0.5400107251491592,0.5693840752705361
Cond_N/StudySeq10,0.5210383630437556,0.47765076313050764
Cond_N/StudySeq11,0.57020837841869,0.5728013867734544
Cond_N/StudySeq12,0.47654313537012205,0.4674914727491271
Cond_N/StudySeq13,0.5520983946913022,0.49986120092331765
Cond_N/StudySeq14,0.5680322396054325,0.6034042835869782
Cond_N/StudySeq15,0.5697049021782321,0.4271365368010132
Cond_N/StudySeq16,0.6381182862955304,0.5936577238688644
Cond_N/StudySeq17,0.48526871644233804,0.5869646615408595
Cond_N/StudySeq18,0.37801836200478023,0.38531429156965685
Cond_N/StudySeq19,0.5789750238431515,0.5139799637990089
Cond_N/StudySeq20,0.5533681530248729,0.6048914820514308
Cond_N/StudySeq21,0.5605100379716313,0.4911923725086577
Cond_N/StudySeq22,0.44279223538921225,0.43335905102749045
Cond_N/StudySeq23,0.5658316489464378,0.5971730366509084
Cond_N/StudySeq24,0.5981936111905745,0.48542009007719317
Cond_N/StudySeq25,0.5579513859359284,0.5044225824115864
Cond_N/StudySeq26,0.3532647776232226,0.4868944073223183
Cond_N/StudySeq27,0.5572739936282669,0.6134009353900356
Cond_N/StudySeq28,0.5333102330192152,0.5224259883758514
Cond_N/StudySeq29,0.4026831376901424,0.5581280850930429
Cond_N/StudySeq30,0.44445484754246806,0.4274430807077299
Cond_N/StudySeq31,0.5544649642924436,0.5702640416065606
Cond_N/StudySeq32,0.39193227262785985,0.4059113977630646
Cond_N/StudySeq33,0.5307089558535846,0.5734687559598696
Cond_N/StudySeq34,0.3831116088824586,0.4169455741509516
Cond_N/StudySeq35,0.5297202337143317,0.5947406556369762
Cond_N/StudySeq36,0.5877237884464496,0.5314263240009469
Cond_N/StudySeq37,0.7093459886397352,0.46728210982858265
Cond_N/StudySeq38,0.5417894759536065,0.4015674753556809
Cond_N/StudySeq39,0.5585990986473802,0.5080939784779398
Cond_N/StudySeq40,0.5677120703124419,0.6512411649416534
Cond_SA/StudySeq1,0.5439845261156079,0.5715200596990333
Cond_SA/StudySeq2,0.6004729765250945,0.7108436979689245
Cond_SA/StudySeq3,0.48661306772681856,0.5494572755929843
Cond_SA/StudySeq4,0.5009537535020663,0.40094156849349194
Cond_SA/StudySeq5,0.7249248592323058,0.5695748787485966
Cond_SA/StudySeq6,0.5347715504432496,0.43772660038648137
Cond_SA/StudySeq7,0.6525663207094432,0.6598139404027339
Cond_SA/StudySeq8,0.7037094308163552,0.5015792108827977
Cond_SA/StudySeq9,0.5536286788217637,0.4502512412525643
Cond_SA/StudySeq10,0.49910282553734003,0.4676820031233118
Cond_SA/StudySeq11,0.588771856933643,0.5671067183393286
Cond_SA/StudySeq12,0.5581436431079111,0.4683691966039214
Cond_SA/StudySeq13,0.5119478496476279,0.5302791238112918
Cond_SA/StudySeq14,0.5597488863824692,0.5941392316839652
Cond_SA/StudySeq15,0.5550710518384452,0.5461629708568614
Cond_SA/StudySeq16,0.5682898468220186,0.5835719046315336
Cond_SA/StudySeq17,0.6240645410248514,0.42836308206727336
Cond_SA/StudySeq18,0.49731344686474116,0.5849784794882754
Cond_SA/StudySeq19,0.6892310424076754,0.5626282252746757
Cond_SA/StudySeq20,0.46931551962212087,0.6256531749437679
Cond_SA/StudySeq21,0.49912142235525075,0.47271402997391004
Cond_SA/StudySeq22,0.518606331264049,0.5148885065425518
Cond_SA/StudySeq23,0.5882528984810702,0.5277106972243228
Cond_SA/StudySeq24,0.4067520932760165,0.41659172587536125
Cond_SA/StudySeq25,0.48791147415600933,0.594212288548024
Cond_SA/StudySeq26,0.344510883466171,0.789368279344921
Cond_SA/StudySeq27,0.43338264554369926,0.6054439049760288
Cond_SA/StudySeq28,0.388046336104505,0.3569128872121163
Cond_SA/StudySeq29,0.4880584773734479,0.5018583096241157
Cond_SA/StudySeq30,0.4340708889678042,0.5077649257572882
Cond_SA/StudySeq31,0.538190009931488,0.4790683405839713
Cond_SA/StudySeq32,0.5992415159948672,0.5804461682688125
Cond_SA/StudySeq33,0.3708480855255056,0.5141363853523483
Cond_SA/StudySeq34,0.6240316419726786,0.5759686236129925
Cond_SA/StudySeq35,0.613358004860184,0.5714761432624689
Cond_SA/StudySeq36,0.5229212857133849,0.498010617347293
Cond_SA/StudySeq37,0.46176451273471575,0.4250005526644704
Cond_SA/StudySeq38,0.5191839635618105,0.45540992863102014
Cond_SA/StudySeq39,0.60805806934134,0.5132603370953339
Cond_SA/StudySeq40,0.45746077289819864,0.49812559288546177
Cond_SB/StudySeq1,0.3995203159728614,0.5283064952741621
Cond_SB/StudySeq2,0.504271641848968,0.4518691150148058
Cond_SB/StudySeq3,0.523939290286544,0.4743434459935139
Cond_SB/StudySeq4,0.37979681196967596,0.5647175413496569
Cond_SB/StudySeq5,0.5328380759070935,0.5038117638756356
Cond_SB/StudySeq6,0.6247609773005193,0.4766480462674287
Cond_SB/StudySeq7,0.5428207129553086,0.4962184878628962
Cond_SB/StudySeq8,0.42788521920932937,0.675970551204448
Cond_SB/StudySeq9,0.5049528737636809,0.44650279329467224
Cond_SB/StudySeq10,0.49813706952475756,0.43518442689729697
Cond_SB/StudySeq11,0.5542325920244839,0.5281239976846596
Cond_SB/StudySeq12,0.5023764415131654,0.5292726113111212
Cond_SB/StudySeq13,0.4509812244999052,0.3626852541085768
Cond_SB/StudySeq14,0.4946462835745677,0.4589080035425686
Cond_SB/StudySeq15,0.43330572389910327,0.4189119191051606
Cond_SB/StudySeq16,0.5597911822678411,0.691887736336553
Cond_SB/StudySeq17,0.5462091664753644,0.47057662712646897
Cond_SB/StudySeq18,0.5255201292800371,0.40136884456499355
Cond_SB/StudySeq19,0.3879212674782243,0.4429568273961676
Cond_SB/StudySeq20,0.4701467056496731,0.5963062853518841
Cond_SB/StudySeq21,0.5208485868903548,0.5883934811151222
Cond_SB/StudySeq22,0.42052048350876703,0.5404980860817646
Cond_SB/StudySeq23,0.5301043472699214,0.5129136857727116
Cond_SB/StudySeq24,0.45539357510862144,0.5001853996854143
Cond_SB/StudySeq25,0.5981686152762355,0.538430453449679
Cond_SB/StudySeq26,0.5622165355606581,0.5064402521501569
Cond_SB/StudySeq27,0.4877435638313889,0.46115806378512847
Cond_SB/StudySeq28,0.5021076911989033,0.5127502857144366
Cond_SB/StudySeq29,0.4878828169788318,0.5708175495911965
Cond_SB/StudySeq30,0.4575407973598103,0.7331903864448198
Cond_SB/StudySeq31,0.5299311789143211,0.5886145429199857
Cond_SB/StudySeq32,0.5220267633264194,0.4141178086574295
Cond_SB/StudySeq33,0.5187240476063676,0.5852684583384176
Cond_SB/StudySeq34,0.5019984542867316,0.6308667327895148
Cond_SB/StudySeq35,0.5590126949706736,0.5155691199621651
Cond_SB/StudySeq36,0.5778354848475517,0.5724868850656701
Cond_SB/StudySeq37,0.5000531981182085,0.5756237588564777
Cond_SB/StudySeq38,0.5092581553560245,0.5135462901682961
Cond_SB/StudySeq39,0.6157423763227874,0.3915916447437124
Cond_SB/StudySeq40,0.495563841475853,0.46303702483357345
Cond_SC/StudySeq1,0.4680387967616891,0.5288849623687316
Cond_SC/StudySeq2,0.5951436760382303,0.5516060992636094
Cond_SC/StudySeq3,0.48684438171527517,0.5690770862417391
Cond_SC/StudySeq4,0.5090006694422036,0.4207658752700847
Cond_SC/StudySeq5,0.4843403561437702,0.3850367773931046
Cond_SC/StudySeq6,0.6385082891850867,0.5101723826236395
Cond_SC/StudySeq7,0.6776086400672267,0.5180653963870002
Cond_SC/StudySeq8,0.5239938815961224,0.49957413594881883
Cond_SC/StudySeq9,0.3783445053399805,0.3642103520619239
Cond_SC/StudySeq10,0.31424033318139666,0.6047768498134312
Cond_SC/StudySeq11,0.20276722462352756,0.3828870274213075
Cond_SC/StudySeq12,0.38458025493359416,0.6677908430704284
Cond_SC/StudySeq13,0.4394136561850411,0.427087009529242
Cond_SC/StudySeq14,0.5701926229871787,0.3863107664842481
Cond_SC/StudySeq15,0.4054912629913326,0.3969174009039268
Cond_SC/StudySeq16,0.4464428907384422,0.5320553013582731
Cond_SC/StudySeq17,0.30990115197614576,0.2986929387443975
Cond_SC/StudySeq18,0.5361843446356711,0.5635754150327502
Cond_SC/StudySeq19,0.5797465953006925,0.4749696894550838
Cond_SC/StudySeq20,0.4559097279486996,0.53217696784059
Cond_SC/StudySeq21,0.43525934841112035,0.4096961872993905
Cond_SC/StudySeq22,0.596566031532454,0.5145158047573427
Cond_SC/StudySeq23,0.6262741179849927,0.5119118096360659
Cond_SC/StudySeq24,0.3616863310090821,0.3994787610375855
Cond_SC/StudySeq25,0.5070554571800057,0.5473222884743072
Cond_SC/StudySeq26,0.5851148162413156,0.5517013573832037
Cond_SC/StudySeq27,0.5473219432559734,0.517214341136762
Cond_SC/StudySeq28,0.5131052104325652,0.5971052693543912
Cond_SC/StudySeq29,0.5073500954626269,0.6279198734034839
Cond_SC/StudySeq30,0.23894302209881121,0.15622583301230894
Cond_SC/StudySeq31,0.6015571598656234,0.5327678868320004
Cond_SC/StudySeq32,0.4627221677911196,0.36564604560073505
Cond_SC/StudySeq33,0.4785281703022109,0.40131816101469603
Cond_SC/StudySeq34,0.6891371845006099,0.8091946164293402
Cond_SC/StudySeq35,0.3951961694187238,0.4208773829340571
Cond_SC/StudySeq36,0.4163671307121582,0.3942666138489345
Cond_SC/StudySeq37,0.4474229596978139,0.5453559267679078
Cond_SC/StudySeq38,0.4746404336776833,0.4275060006849973
Cond_SC/StudySeq39,0.5411289877034058,0.4637765251557725
Cond_SC/StudySeq40,0.5598243156010709,0.467489158717454
Cond_SD/StudySeq1,0.5257982500010038,0.5048329226735081
Cond_SD/StudySeq2,0.5594788895622499,0.550804037434655
Cond_SD/StudySeq3,0.6358235139461743,0.40995287963819993
Cond_SD/StudySeq4,0.5236314374424899,0.5610401649995542
Cond_SD/StudySeq5,0.6519538194423092,0.6809270083122738
Cond_SD/StudySeq6,0.4370854158273931,0.5443475061842037
Cond_SD/StudySeq7,0.5895131688393398,0.593500689826452
Cond_SD/StudySeq8,0.6269476115678776,0.506481875438878
Cond_SD/StudySeq9,0.543142111182695,0.45704924392539126
Cond_SD/StudySeq10,0.4969390769801585,0.39162052781564166
Cond_SD/StudySeq11,0.3576780081787856,0.4486006618214365
Cond_SD/StudySeq12,0.5719449246239653,0.47238758240007417
Cond_SD/StudySeq13,0.4617177813224713,0.5012748882279957
Cond_SD/StudySeq14,0.38067831941659147,0.40671548953990877
Cond_SD/StudySeq15,0.5368914497240872,0.5837672432779109
Cond_SD/StudySeq16,0.4768059030389616,0.486795234144779
Cond_SD/StudySeq17,0.7495035069790474,0.7272695331473223
Cond_SD/StudySeq18,0.46127865344099456,0.42825741433622344
Cond_SD/StudySeq19,0.6933170039619941,0.6370368828318357
Cond_SD/StudySeq20,0.38690804826696495,0.5592375743600256
Cond_SD/StudySeq21,0.515827551780686,0.6541936833637888
Cond_SD/StudySeq22,0.5745595597306941,0.6750489468949892
Cond_SD/StudySeq23,0.3522854108034495,0.542647309433045
Cond_SD/StudySeq24,0.46821193576608533,0.5940735275011207
Cond_SD/StudySeq25,0.3236429701012877,0.56293083387554
Cond_SD/StudySeq26,0.6332253824066774,0.6343662696932036
Cond_SD/StudySeq27,0.5999296885823818,0.38599833704372255
Cond_SD/StudySeq28,0.4826898941628741,0.49889172156258627
Cond_SD/StudySeq29,0.4048478199481359,0.4321442206666604
Cond_SD/StudySeq30,0.5545432130762902,0.3576027043696668
Cond_SD/StudySeq31,0.5752448271730115,0.5484367080128436
Cond_SD/StudySeq32,0.5325901751683633,0.3858426405990125
Cond_SD/StudySeq33,0.5758610131497944,0.39375221200696275
Cond_SD/StudySeq34,0.8484321037832223,0.5017748362211769
Cond_SD/StudySeq35,0.46749854801894186,0.4291811812611261
Cond_SD/StudySeq36,0.6802383604117795,0.4753436763254001
Cond_SD/StudySeq37,0.6291372245888367,0.4932688210052392
Cond_SD/StudySeq38,0.585977942805126,0.4225165929754181
Cond_SD/StudySeq39,0.4950469878216553,0.5339969769323354
Cond_SD/StudySeq40,0.5531664274709788,0.47544013805930135
Cond_SE/StudySeq1,0.44429379985751233,0.42588230517499365
Cond_SE/StudySeq2,0.427046161153655,0.5182896332076606
Cond_SE/StudySeq3,0.4760039973588239,0.35008164712886275
Cond_SE/StudySeq4,0.6198435964743362,0.5004234141931104
Cond_SE/StudySeq5,0.4554362404131628,0.6495988243769102
Cond_SE/StudySeq6,0.7221359721219351,0.5137373438743158
Cond_SE/StudySeq7,0.4321521095332066,0.5074305433522059
Cond_SE/StudySeq8,0.6692914538000064,0.5845215596115856
Cond_SE/StudySeq9,0.6041913288393566,0.401461693615
Cond_SE/StudySeq10,0.4675293742216963,0.48802989924293527
Cond_SE/StudySeq11,0.692346906599378,0.7282206924413294
Cond_SE/StudySeq12,0.5403691356974336,0.5420088286314256
Cond_SE/StudySeq13,0.5431070976239232,0.5418310912734875
Cond_SE/StudySeq14,0.4203963710415192,0.5333117935263642
Cond_SE/StudySeq15,0.5973368282015259,0.4499171751816286
Cond_SE/StudySeq16,0.5634059391416593,0.5676215545902199
Cond_SE/StudySeq17,0.29420569704083605,0.47075499155158373
Cond_SE/StudySeq18,0.6012473351015444,0.45527489157996953
Cond_SE/StudySeq19,0.7475169055990357,0.530186177499632
Cond_SE/StudySeq20,0.427870037855995,0.4005727402681052
Cond_SE/StudySeq21,0.4531523593852846,0.53029434076101
Cond_SE/StudySeq22,0.4667027224096678,0.5277250538809908
Cond_SE/StudySeq23,0.41831018261113917,0.6044269830264012
Cond_SE/StudySeq24,0.546720430158481,0.5173818260214814
Cond_SE/StudySeq25,0.5289407575012686,0.44437100941695434
Cond_SE/StudySeq26,0.44534110683486167,0.3938983099269179
Cond_SE/StudySeq27,0.46888473904331834,0.5874680935294393
Cond_SE/StudySeq28,0.49864156250871466,0.5152105605001183
Cond_SE/StudySeq29,0.5902611311657682,0.6446638808680921
Cond_SE/StudySeq30,0.4010192588880099,0.39639142674880135
Cond_SE/StudySeq31,0.5526796171380229,0.38609213352009514
Cond_SE/StudySeq32,0.4257592241250053,0.5778710925654942
Cond_SE/StudySeq33,0.3947026892783089,0.5754731024153447
Cond_SE/StudySeq34,0.6136321381249082,0.5536241005120021
Cond_SE/StudySeq35,0.4969974804206536,0.5460599111930949
Cond_SE/StudySeq36,0.6148930950561032,0.3577453062261652
Cond_SE/StudySeq37,0.5721242896638228,0.3898210447253725
Cond_SE/StudySeq38,0.6109763223369831,0.45709060965576964
Cond_SE/StudySeq39,0.581700761941026,0.43512313041173056
Cond_SE/StudySeq40,0.5200030306389607,0.5145821308425559
