,Left_Elbow_Angle,Right_Elbow_Angle
Cond_SD/StudySeq16,1.2948189227243996,1.3242201842396053
Cond_SD/StudySeq17,1.3808310321495143,1.4377752923354943
Cond_SD/StudySeq18,1.3838144764768758,1.3689673335431287
Cond_SD/StudySeq19,1.4026045534093132,1.4345237208348933
Cond_SD/StudySeq20,1.4038667325709993,1.3567361903656225
Cond_SD/StudySeq21,1.3056354530789211,1.3681504820539259
Cond_SD/StudySeq22,1.1661936127127228,1.0793640936913451
Cond_SD/StudySeq23,1.208530996623347,1.2568712295541056
Cond_SD/StudySeq24,1.2732999152169246,1.2501291452334249
Cond_SD/StudySeq25,1.1714631478814843,1.2663294256733064
Cond_SD/StudySeq26,1.2503075783989566,1.2482002583189293
Cond_SD/StudySeq27,1.2311206300300324,1.274821938354591
Cond_SD/StudySeq28,1.189348560710843,1.2143882002248392
Cond_SD/StudySeq29,1.1609972462623883,1.1577887228201558
Cond_SD/StudySeq30,1.11580385977342,1.1325230721734194
Cond_SD/StudySeq31,1.1741088737554168,1.1789788099621556
Cond_SD/StudySeq32,1.0750268834856382,0.9917092519841499
Cond_SD/StudySeq33,1.084451585462874,1.1030393324101484
Cond_SD/StudySeq34,1.2993333706052184,1.23554785223736
Cond_SD/StudySeq35,1.1448828814110228,1.117403522368998
Cond_SD/StudySeq36,1.261173869281929,1.2373997705054776
Cond_SD/StudySeq37,1.2007835074586939,1.1276426979383196
Cond_SD/StudySeq38,1.3225203023273657,1.2798380685754638
Cond_SD/StudySeq39,1.311201571713358,1.179479326982125
Cond_SD/StudySeq40,1.1706840948440478,1.1195477459903678
Cond_SE/StudySeq1,1.329078845770153,1.3180675507676332
Cond_SE/StudySeq2,1.368724382287969,1.329374505842584
Cond_SE/StudySeq3,1.3234636708399523,1.311568343429519
Cond_SE/StudySeq4,1.3175033211404494,1.3073991630324833
Cond_SE/StudySeq5,1.314142641745008,1.235173757231358
Cond_SE/StudySeq6,1.2218681180851019,1.183467628127559
Cond_SE/StudySeq7,1.2334472768328668,1.143201417067599
Cond_SE/StudySeq8,1.2235062766194331,1.1284465806983923
Cond_SE/StudySeq9,1.3643710150036212,1.3310382224176802
Cond_SE/StudySeq10,1.322769142397969,1.2936740095045791
Cond_SE/StudySeq11,1.3255341144453094,1.2326038381541304
Cond_SE/StudySeq12,1.2666999848418317,1.1990357384886279
Cond_SE/StudySeq13,1.211919354694982,1.1782116428290794
Cond_SE/StudySeq14,1.2598244957810187,1.2160759782224464
Cond_SE/StudySeq15,1.2726391487113242,1.2080763228419211
Cond_SE/StudySeq16,1.26696170872887,1.2368944797439054
Cond_SE/StudySeq17,1.2636585490439904,1.2330911834002407
Cond_SE/StudySeq18,1.259292142074491,1.2453927679902004
Cond_SE/StudySeq19,1.2527326343535465,1.255454289924439
Cond_SE/StudySeq20,1.2736602547328655,1.2531750652632754
Cond_SE/StudySeq21,1.2746128551346898,1.2305284632524842
Cond_SE/StudySeq22,1.2781546636773957,1.2365698068647404
Cond_SE/StudySeq23,1.30308476797951,1.292766842075984
Cond_SE/StudySeq24,1.338637308953847,1.3428233789140143
Cond_SE/StudySeq25,1.2690370401340152,1.2145138308025654
Cond_SE/StudySeq26,1.2632029027314595,1.2560830917282002
Cond_SE/StudySeq27,1.2551557105216342,1.2260498248450216
Cond_SE/StudySeq28,1.2721136347905373,1.170033860560706
Cond_SE/StudySeq29,1.2884331051442037,1.2478219192388902
Cond_SE/StudySeq30,1.3302642618739284,1.284764946137928
Cond_SE/StudySeq31,1.3125238454668098,1.236179415738165
Cond_SE/StudySeq32,1.3131977877795544,1.2675314616261208
Cond_SE/StudySeq33,1.311143860834031,1.2684682567732244
Cond_SE/StudySeq34,1.2688312627064042,1.2538652445438268
Cond_SE/StudySeq35,1.3175912149837516,1.2466665708982576
Cond_SE/StudySeq36,1.266739526034899,1.2070669669965537
Cond_SE/StudySeq37,1.2533328626405207,1.2296883768171354
Cond_SE/StudySeq38,1.3108618728776356,1.2941896931123034
Cond_SE/StudySeq39,1.237417942821091,1.2051794368843676
Cond_SE/StudySeq40,1.2922627867846168,1.2401186623007372
