,StudySeq,RMS_Energy1,RMS_Energy2,RMS_Energy3,RMS_Energy4,RMS_Energy5,RMS_Energy6,RMS_Energy7,RMS_Energy8,RMS_Energy9,RMS_Energy10
29,StudySeq30,0.020113477,0.025476623,0.0008908122,0.021842215,0.015144588,0.017838094,0.011460649,0.014091486,0.014385806,0.0023799033
30,StudySeq31,0.0062071225,0.009866046,0.014475581,0.027602278,0.012446546,0.018688716,0.02457544,0.000610342,0.033722296,0.00090302044
31,StudySeq32,0.040759705,0.03752117,0.02560959,0.0292186,0.031377014,0.04157941,0.0006676146,0.015760109,0.06177371,0.0013205158
32,StudySeq33,0.0011644741,0.055013154,0.040722143,0.03366058,0.020806426,0.0065479125,0.019569311,0.0043029506,0.04849838,0.015486659
33,StudySeq34,0.006641243,0.0038836827,0.0019948215,0.0004226259,0.015725983,0.005137285,0.018051809,0.0035976386,0.084878296,0.005969734
34,StudySeq35,0.0140032265,0.00929404,0.019921351,0.021346482,0.047330003,0.03467418,0.010666491,0.014505407,0.009913956,0.01094863
35,StudySeq36,0.0015902823,0.052298833,0.028256826,0.008649324,0.009223649,0.011013312,0.001138799,0.017828837,0.020252852,0.0132475
36,StudySeq37,0.017035754,0.0014422958,0.002258189,0.0029511366,0.014323088,0.027400373,0.018339382,0.013015296,0.006838834,0.0009100756
37,StudySeq38,0.0025298798,0.0039841696,0.000561894,0.045526776,0.0064714663,0.0136105195,0.0050199735,0.015480788,0.018328536,0.0051303017
38,StudySeq39,0.05679784,0.0038269844,0.02311148,0.00042960994,0.0017814476,0.027765382,0.009483247,0.015684031,0.0144233,0.0099792285
39,StudySeq40,0.0012350642,0.011316185,0.027584855,0.0059229117,0.018314792,0.02022088,0.017508587,0.01611459,0.011573502,0.013289116
