,StudySeq,Mean_Spectral_Centroid1,Mean_Spectral_Centroid2,Mean_Spectral_Centroid3,Mean_Spectral_Centroid4,Mean_Spectral_Centroid5,Mean_Spectral_Centroid6,Mean_Spectral_Centroid7,Mean_Spectral_Centroid8,Mean_Spectral_Centroid9,Mean_Spectral_Centroid10
19,StudySeq20,1646.8270454626008,1690.4026469327264,1284.1174098802737,2587.176354670022,2036.46610556456,2068.4920066258933,1299.1712363629167,1817.3702736040016,1539.978749550783,2037.8393798998231
20,StudySeq21,3090.9411657008236,1442.2593636393901,1943.0960033212425,1770.7266598704555,2019.3039600020477,1828.6916818848701,1958.0065367446418,1869.6871865459354,1135.179924665252,1646.9766540028797
21,StudySeq22,1439.6414029937202,1471.7875952162358,2157.4281738891077,2241.7865019949536,1636.2409377408585,1628.2681562898806,1532.6887981291636,2497.925938343439,98.15328492017703,98.15328492017703
22,StudySeq23,1503.2258140833808,1705.410160687414,1745.7071897298083,1734.3805798025699,2285.7983854659947,2458.1614395148677,2192.796479536187,1820.4008803210054,1556.7767687979917,938.4423511258225
23,StudySeq24,1376.6308305649402,2068.626654755546,2235.6375045640725,2591.713846205164,1580.4345301055023,2630.5445010673566,2389.0218001795874,3238.085079591833,1451.970430151849,2113.9774015267762
24,StudySeq25,2197.8324980600664,1420.5094768071272,1621.794850874036,1476.3313455880989,2088.843910013859,2752.2753054105615,2171.8377315341763,2292.985386168066,2518.8943469007786,1699.1387403867511
25,StudySeq26,1138.2026811715007,1411.313734041307,1719.4966549499761,1740.496363239392,1829.1477082627136,1343.7113036791518,1674.3534759987356,1483.018432952278,1146.2342742953185,1471.9107322854377
26,StudySeq27,1606.324491197055,1539.2616662903654,2234.691491663836,1655.1541231715792,1535.0395729156533,1887.2401389647205,1784.934750473836,951.6767454279674,804.406706484706,98.1532845758853
27,StudySeq28,1650.528696273438,1741.2728073038945,1575.7745248327767,1500.4227270874528,1461.4710714008183,1940.0039683692705,1982.3660422998948,2155.5297334129887,2187.4928746502815,761.2508458873789
28,StudySeq29,1552.279115346784,1721.48789935069,1539.3789810150956,2807.2238531320254,1755.898803596949,1758.3988949878453,2569.053773757141,2072.695932794541,1390.3861740191503,1770.9976434423
29,StudySeq30,1976.7841449250795,1180.5244556485313,2398.4393738702283,2033.8171891677237,1764.8835392720948,1372.022099723535,1852.8775850794934,1222.772035134719,2294.1305801642116,2050.511418132581
30,StudySeq31,1904.4259845445124,1692.6318389561127,1835.7876214118842,1327.4628803515222,1486.3013759144642,1253.4371665405072,2379.064594449529,1662.733503038917,1516.4856157761662,98.15328425483978
31,StudySeq32,1827.143975059685,1532.25845864387,1839.076465663001,2323.8912256642766,1142.9648702763436,2775.077296374564,1568.798434728282,2094.777850511838,1231.3092933156831,1656.5397164834706
32,StudySeq33,1278.9893245164042,1800.1937106117775,1472.9759667345943,1536.2701251264923,1842.4980602467883,1224.4235744478513,1246.7678512248492,1810.509430524351,2369.6996147177542,1035.1348828986402
33,StudySeq34,1714.2256956587696,1732.3455403912749,2103.498205059231,1939.3970273610032,1222.4678088562823,1840.028860163181,2257.013909580627,1588.0690586337123,1428.2573703553282,1731.5145551159367
34,StudySeq35,1398.06852276046,1865.7788799656194,1428.869245630404,1381.0056067970863,1498.279649356827,1418.7373909760818,1479.803691370268,1497.9773474816684,1265.2851699716305,1431.4118375998678
35,StudySeq36,1529.8979530059987,1836.6398250111242,1414.8983970998243,1290.5350410626068,1433.3323379758874,1074.7171662788044,1860.8059713655982,2025.1516469675926,1344.107895451213,2007.6238861811582
36,StudySeq37,1706.7406244666179,1370.2776814039514,1821.2780757576247,2397.9673692576757,1251.2461387963742,1311.5411876973785,2266.308455437294,1197.490947611281,1670.385659382077,1493.4177363849233
37,StudySeq38,1705.7110875842698,2661.986862841919,1888.494847612345,1475.879358848091,1648.2139909915336,1441.8932305670317,1576.251108224936,891.9289059032817,98.15328431836966,98.15328431836966
38,StudySeq39,1368.309225261808,2453.2251695782143,1628.6645363557366,1977.5188979934894,1756.66847999835,1162.7190904734807,1681.0608368852904,1523.1519141315862,1386.9889816535222,634.8803815973467
39,StudySeq40,2122.7710765856295,1914.1452617518114,2317.360972657897,1394.703113074438,1237.1494147746653,1484.4146979683912,1461.5915072161547,343.01948357165224,98.15328409162315,98.15328409162315
